"nombre";"descripcion";"tipo"
"AJUAR HILO";;"AJUAR"
"AJUAR ALGODON";;"AJUAR"
"AJUAR JACKARD";;"AJUAR"
"AJUAR PLUSH";;"AJUAR"
"AJUAR PUNTO INGLES";;"AJUAR"
"BEBECRECE ALGODON";;"BEBECRECE"
"BEBECRECE PLUSH";;"BEBECRECE"
"BEBECRECE JACKARD";;"BEBECRECE"
"BERMUDA JEANS";;"BERMUDA"
"BERMUDA DRILL";;"BERMUDA"
"BERMUDA PAPER TOUCH ";;"BERMUDA"
"COLCHA ALGODON";;"COLCHA"
"COLCHA HILO";;"COLCHA"
"COLCHA JACKARD";;"COLCHA"
"COLCHA PUNTO INGLES";;"COLCHA"
"JAMPER JEAN";;"JAMPER"
"JAMPER DRILL";;"JAMPER"
"JAMPER BABY CORD";;"JAMPER"
"LEGGIN ALGODON";;"LEGGIN"
"LEGGIN FRANELA";;"LEGGIN"
"LEGGIN FRENCH TERRY";;"LEGGIN"
"OVEROL JEAN";;"OVEROL"
"OVEROL DRILL";;"OVEROL"
"PA헤L GASA";;"PA헤L"
"PA헤L FRANELA";;"PA헤L"
"POLERA FRANELA";;"POLERA"
"POLERA FRENCH TERRY";;"POLERA"
"PANTALON JEAN";;"PANTALON"
"PANTALON DRILL";;"PANTALON"
"PANTALON ALGODON";;"PANTALON"
"PANTALON FRANELA";;"PANTALON"
"SHORT JEANS";;"SHORTS"
"SHORT DRILL";;"SHORTS"
"SHORT ALGODON";;"SHORTS"
"VESTIDOS JEAN";;"VESTIDOS"
"VESTIDOS TELA";;"VESTIDOS"
"VESTIDOS ALGODON";;"VESTIDOS"
"POLOS";;"POLOS"
"BABERO";;"BABERO"
"BODY";;"BODY"
"BVD";;"BVD"
"CAMISA";;"CAMISA"
"TOALLA ";;"TOALLA"
"CONJUNTO";;"CONJUNTO"
"JOGGER JEAN";;"JOGGERS"
"JOGGER DRILL";;"JOGGERS"
"BATITA ALGODON";;"BATITAS"
"TRUZA";;"TRUZA"
"GORRO ";;"GORRO"
"SOMBRERO";;"SOMBREROS "
"PORTABEBE";;"PORTABEBE"
"SABANA";;"SABANA"
"BANDANA";;"BANDANAS "
"BOLERO HILO ";;"BABERO"
"BOLERO ";;"BOLERO"
